sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2
3PbHle8KhJp6GuO1jLdEmQ,0.48700000000000004,0.7020000000000001,7,-6.042999999999999,1,0.0238,0.00528,4.97e-06,0.129,0.306,95.98200000000001,265907,2000,59,0.28204619884490967,0.7177608609199524,0.0
0qAMjeQFyd1qD0LDiV8gWp,0.748,0.7859999999999999,4,-7.787999999999999,0,0.0641,0.32799999999999996,0.0,0.34,0.917,104.833,172373,1/1/2005,63,0.0,0.9992049932479858,0.0
4XOZaPYeMn9hcbpyS90NnD,0.344,0.972,11,-3.675,0,0.11599999999999999,8.48e-05,0.0,0.293,0.387,167.81900000000002,208187,1/1/2006,59,0.05619782209396362,0.9435924291610718,0.0
4IgNweJc2Ph8KfXZ1Zl9y8,0.386,0.85,0,-4.012,0,0.0706,4.48e-05,0.0375,0.221,0.153,100.454,273440,7/13/2007,32,0.0,0.9762353897094727,0.022512760013341904
0K8hmlY7fVZLRp3R1JnWLT,0.391,0.929,4,-6.773,0,0.0426,0.00742,0.382,0.183,0.524,93.919,244400,8/12/1991,52,0.0,0.9982063174247742,0.0
5gUcLzosEDmiPLDpQUKqTP,0.33799999999999997,0.915,4,-9.456,1,0.0832,3.6e-05,0.0983,0.309,0.32,123.522,300373,2/21/1992,49,0.0,0.9969372153282166,0.0
0CqCpm4LLQbHUX5ysizWJS,0.213,0.9570000000000001,3,-2.967,1,0.235,0.00156,0.0,0.39399999999999996,0.157,196.118,242080,9/15/2009,60,0.034482117742300034,0.9652302265167236,0.0
3oI95Uihdvu7uCiirC1DQA,0.467,0.371,11,-12.514000000000001,1,0.0322,0.659,6.670000000000001e-05,0.7559999999999999,0.478,93.681,205573,2/28/1995,56,0.8852179646492004,0.11436813324689865,0.0
2J8FymmQmH3Z8vROUsA1q7,0.387,0.983,5,-4.063,0,0.16,4.03e-05,0.0811,0.207,0.316,184.00599999999997,226667,5/3/2004,41,0.0,0.9980142116546631,0.0
0iOZM63lendWRTTeKhZBSC,0.606,0.457,6,-14.035,0,0.0497,0.713,2.5300000000000002e-05,0.0747,0.813,92.03299999999999,244027,4/3/1968,76,0.22886155545711517,0.7708167433738708,0.0
0RN5fZ3SVyT0VhltQxNQx4,0.648,0.682,0,-7.34,0,0.0615,0.451,7.47e-05,0.17800000000000002,0.653,72.642,329613,1981,56,0.8393759727478027,0.16054938733577728,0.0
6hwQ69v7VbPhTTR2fOtYX7,0.491,0.966,4,-4.28,1,0.0538,5.59e-05,0.0,0.307,0.614,105.544,202573,11/14/2000,66,0.8317686319351196,0.1678599715232849,0.0
3zNkNyXEeDs2HeAZ0fYqxI,0.326,0.935,9,-5.69,1,0.0698,0.00372,7.55e-06,0.302,0.17,135.762,210520,8/27/1991,55,0.45499077439308167,0.5447216033935547,0.0
5rsiXpifJ6NLCpdhTgOWU6,0.43799999999999994,0.816,1,-7.5729999999999995,1,0.0564,0.0171,0.0,0.382,0.644,148.244,153093,2/12/1998,43,0.0,0.9982302784919739,0.0
7m1TJgrWNy72WgKmK51QgJ,0.698,0.638,4,-5.968,0,0.0371,0.313,2.67e-06,0.0937,0.816,111.205,226893,8/29/2006,45,0.27196329832077026,0.7277370691299438,0.0
0qvCuc6fifzBd1wwsXedeC,0.317,0.364,7,-13.742,1,0.0535,0.552,0.0,0.3,0.292,81.579,328600,1987,42,0.9745116233825684,0.025330422446131706,0.0
1vP2JEXRsGrFbwOZ0foOQ5,0.667,0.804,2,-8.583,1,0.0398,0.0328,0.0544,0.0632,0.759,105.79700000000001,184382,1977,62,0.0,0.9970742464065552,0.0
5mB0MGsRfKZALHrXjnktCK,0.425,0.479,2,-12.22,1,0.0419,0.44,0.000109,0.37799999999999995,0.27899999999999997,123.21700000000001,215867,6/19/1990,69,0.0,0.011837922036647797,0.9835429191589355
62aEe7mLn8wdWr0o26shwx,0.212,0.245,8,-16.939,1,0.0455,0.875,0.00527,0.406,0.17800000000000002,88.426,648827,1972,44,0.0,0.998300313949585,0.0
2Dlo3MHqNxgRKOX6KAmWWO,0.428,0.36700000000000005,5,-12.35,1,0.0657,0.5660000000000001,0.0,0.102,0.331,100.742,332867,7/25/1980,44,0.7899587154388428,0.20984306931495667,0.0
0qG1teoBvooRo7Z5Z8edCk,0.5579999999999999,0.723,0,-11.214,0,0.0312,0.00405,0.501,0.0863,0.526,102.833,454480,1/1/2004,60,0.46442684531211853,0.5347194075584412,0.0
7K4Aq4awgYvDKEJdEvvl4j,0.9159999999999999,0.821,4,-4.118,0,0.15,0.0528,0.0,0.0635,0.5920000000000001,90.04,306440,2001,51,0.0,0.9994458556175232,0.0
6kjfEHnwstiSWqf1m69bDr,0.266,0.917,6,-15.734000000000002,0,0.0867,9.63e-05,0.897,0.11,0.0394,124.652,364200,1987,22,0.0,0.9979510307312012,0.0
0hKr166QnNZ0a37G4UO0VY,0.774,0.456,1,-16.027,1,0.326,0.13699999999999998,6.879999999999999e-05,0.109,0.642,97.109,322067,2/1/1994,58,0.06258385628461838,0.9373444318771362,0.0
562JrM9b7jiu8LgzV62x3o,0.34700000000000003,0.228,0,-9.667,1,0.0296,0.9009999999999999,0.0,0.38,0.184,133.57399999999998,221373,1979,68,0.2605589032173157,0.7390565872192383,0.0
4kPF8KNfCkQQkL22YoOJir,0.42200000000000004,0.973,10,-4.185,0,0.16899999999999998,0.00025299999999999997,0.0,0.231,0.297,168.051,269933,10/28/1994,40,0.0,0.999026358127594,0.0
4gXFUhyu4fzOgmV28BiJ9s,0.86,0.85,1,-2.975,1,0.18,0.00748,0.000893,0.264,0.65,94.994,257507,11/19/1996,47,0.0,0.9920867681503296,0.0
40VpMYDhTMvr4XXSVXmVvl,0.841,0.535,10,-12.194,0,0.365,0.0811,0.0035,0.11199999999999999,0.6859999999999999,93.434,299067,5/19/1997,51,0.0,0.9919167160987854,0.0
1nneC7m6oPIo1JuCXPZyHa,0.633,0.486,5,-9.517999999999999,0,0.0319,0.77,0.0,0.0536,0.7659999999999999,124.69,147040,2/4/2001,33,0.2851428687572479,0.7145400047302246,0.0
3lrSnngQqNWgvQmcFbCJCx,0.708,0.67,3,-8.142000000000001,1,0.028999999999999998,0.47100000000000003,0.0314,0.0631,0.94,117.149,145507,1/22/1968,46,0.9140874743461609,0.08570072054862976,0.0
1sjrDQXqAa9V07FjKIlAQ4,0.301,0.823,1,-4.072,1,0.0433,0.000144,0.000309,0.0833,0.37200000000000005,152.017,236867,9/19/2000,62,0.15708626806735992,0.8426656126976013,0.0
45hOioMDJktr86iKDHC8gr,0.56,0.9590000000000001,7,-2.4330000000000003,1,0.102,0.0007379999999999999,0.000206,0.209,0.67,163.983,216600,4/17/2007,74,0.8028761744499207,0.1969747096300125,0.0
1W1GpfPujmgp2vQqcpUhtU,0.7020000000000001,0.841,2,-9.837,1,0.045,0.256,0.235,0.0584,0.271,134.91899999999998,513000,8/14/1971,61,0.0,0.9986933469772339,0.0
3KiY1ajjwnwgAHiQ5yTdLg,0.5529999999999999,0.9179999999999999,7,-4.849,1,0.047,0.0127,0.0,0.10800000000000001,0.96,156.037,207240,1/1/2004,43,0.0,0.025527290999889374,0.9723256826400757
2nQpW4dCSpd5lraEXYfqHa,0.602,0.5579999999999999,5,-11.584000000000001,1,0.0257,0.33299999999999996,0.00115,0.0929,0.797,92.65299999999999,179307,5/8/1970,30,0.3186875283718109,0.6810802817344666,0.0
4KvbH0GiowrUxQDY9uoSLd,0.648,0.597,6,-13.247,1,0.0283,0.0015,0.00021,0.0983,0.879,134.116,220440,1980,40,0.0,0.9984428286552429,0.0
32zPvvt7K2nZIbQl7cMM3F,0.622,0.344,4,-12.833,1,0.0396,0.8540000000000001,0.0,0.31,0.6729999999999999,118.37700000000001,150094,1/1/2013,42,0.0,0.9965275526046753,0.0
7rGFyfE73J6lkEvFnCHucC,0.61,0.83,9,-4.772,1,0.0343,0.0452,0.00021099999999999998,0.163,0.5660000000000001,90.024,178533,6/1/1999,37,0.4679839313030243,0.5318140983581543,0.0
6g3IWdT5DBpfwN4yHwjAUl,0.65,0.631,9,-8.366,1,0.0628,0.35100000000000003,0.0,0.44799999999999995,0.6970000000000001,133.907,285100,1/21/1994,27,0.4632464647293091,0.5365908741950989,0.0
2MWOqewf5j0qf2b6S5J6cS,0.461,0.267,0,-8.514,1,0.0278,0.8340000000000001,2.0300000000000002e-05,0.107,0.48100000000000004,87.91799999999999,205453,12/1/2010,73,0.4173550605773926,0.5823367834091187,0.0
6d01Jkzt0zYiQINWJJFCaf,0.639,0.166,0,-19.269000000000002,1,0.0446,0.8640000000000001,0.0752,0.115,0.39799999999999996,109.227,152040,2/25/1972,51,0.0,0.9957298636436462,0.0
3WZeDjr1TT9VplTb9dOfMI,0.34600000000000003,0.867,0,-5.667000000000001,0,0.0581,0.00016,0.109,0.22,0.33,118.807,299027,5/20/2008,28,0.0,0.9991902709007263,0.0
