sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity
4LmlGaGTEbTGE5VngAbpA3,0.512,0.636,7,-9.602,1,0.0262,0.08,0.000106,0.088,0.499,97.257,236000,1993-01-01,55
5B7xzzpqgWY6sdiebvEVJA,0.261,0.592,7,-4.665,1,0.0317,0.0451,0.0,0.254,0.329,139.242,276173,2007-07-10,48
4WdopfTdSd0nCLropjhsgH,0.501,0.933,6,-3.476,0,0.198,0.0457,0.0,0.376,0.708,170.13,174867,2005-09-27,58
6VTbbVjKOC2qWagIDbkJrC,0.746,0.243,4,-15.134,0,0.123,0.829,1.02e-06,0.0905,0.425,118.578,215747,1958-06-24,68
1MqGKtY9L5qjPi8s7gX645,0.537,0.645,9,-12.362,1,0.0308,0.00214,3.21e-05,0.0911,0.848,133.745,254467,1984-01-01,60
2NNuM86QBFGBpNeYlzxbL1,0.372,0.953,4,-8.476,1,0.0921,0.000724,0.85,0.249,0.0589,101.636,146427,1987,30
5e3isD5st7PGYzSJuoRSIV,0.53,0.873,4,-5.105,0,0.118,0.297,0.0,0.0521,0.583,162.154,161587,1965-03-05,55
0Jcnr8HUGQdaOiSkqpdEKX,0.692,0.797,5,-6.248,1,0.0439,0.0863,0.0,0.186,0.763,125.022,186800,2010-01-01,57
1X0PGm7eJoC6LmXpczYeaN,0.575,0.588,1,-6.659,1,0.0515,0.0867,0.0,0.344,0.401,156.797,250667,2008-06-02,43
07GtDOCxmye5KDWsTSACPk,0.489,0.806,3,-6.054,1,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,145267,1958-01-01,57
3PFyeq4aBtLfShPJ9oiK4p,0.452,0.302,3,-17.023,1,0.0355,0.0663,0.0,0.116,0.381,149.163,211733,1980,59
0wbWUdfexByPnIcfLOefMu,0.575,0.448,9,-8.524,1,0.0262,0.256,0.0,0.128,0.404,145.978,279107,1998-01-01,51
4pM3FHdiulPKpx5g4GIZg6,0.547,0.488,0,-6.244,1,0.025,0.448,0.0,0.0904,0.301,137.226,237760,1993,43
5ra32bWihaLpFOC4IFijBR,0.667,0.843,7,-5.392,1,0.0934,0.428,0.0,0.0371,0.94,171.852,204591,2009-01-01,40
1xvGuRbLxTkpb5UdUG7HME,0.474,0.238,1,-15.595,1,0.0271,0.554,3.95e-06,0.107,0.137,99.005,212693,1987-01-01,48
1JZ2NQMaA9oy4UeTI4oQcP,0.459,0.152,9,-15.176,0,0.0324,0.872,0.00263,0.0541,0.228,77.652,153493,1974-08-11,50
4XhrowM5IKGCRrY2HzYBH3,0.534,0.7,8,-8.71,0,0.0446,0.0143,0.0,0.197,0.447,122.609,229053,1989-10-20,55
1SlMYQmLe0yNEvBIfaPTAW,0.648,0.896,2,-4.254,1,0.041,0.00138,0.000819,0.0879,0.468,128.115,217107,2001-04-02,59
760clbeDBWmBsBLbszWuNZ,0.513,0.546,0,-15.672,1,0.0391,0.333,0.0,0.17,0.834,85.527,164547,1958-01-01,57
5ECMRJbRlj0FZRg9cRg94m,0.546,0.907,4,-4.117,0,0.09,0.0135,0.00232,0.169,0.654,173.178,212400,2000,49
3BcCqaxGznRqmB1BIerea2,0.574,0.896,10,-4.478,1,0.0393,0.0654,0.0,0.31,0.731,99.974,206400,2003-01-01,43
2KhS0LVOw9ralhfbcIi7vL,0.565,0.698,0,-8.596,1,0.0295,0.54,0.0183,0.124,0.155,120.013,253547,2008-01-01,54
7CArsPwh4vuYlWpVgolwsL,0.251,0.989,2,-3.101,1,0.0915,0.000134,0.000101,0.372,0.539,196.224,242920,2008-01-28,36
1i7nQGgwloILcp6ZftH2Qa,0.606,0.301,0,-11.402,1,0.0423,0.545,0.00194,0.0419,0.457,100.979,183027,2005-03-29,51
6NjXLhejj5dVjTyeU8SbVM,0.823,0.809,0,-3.871,0,0.208,0.105,0.0,0.356,0.863,91.007,165233,1998-03-31,45
0Ao3qWJKueyfs3iqwGN30F,0.628,0.479,4,-7.562,1,0.0283,0.559,8.69e-05,0.201,0.85,87.587,164676,1991-10-11,52
0jnFDxgNhS156vu6roUVco,0.739,0.613,7,-9.487,1,0.0856,0.00501,0.124,0.095,0.677,96.493,192440,1979,58
6Qb7gtV6Q4MnUjSbkFcopl,0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,217347,1975-10-25,70
7Ko8eQ58gmHF8m3drHGUZT,0.489,0.775,6,-11.057,1,0.0315,0.271,0.000754,0.152,0.939,124.335,141840,1967,46
2K2M0TcglCRLLpFOzKeFZA,0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,250400,2004-09-28,71
2fYYmPNwDaNpw1KRSxpQ5H,0.531,0.471,0,-9.267,1,0.0236,0.28,6.22e-05,0.133,0.119,90.941,293838,1992-04-02,66
7fPXqb7yuGbSl0ZM3EddHx,0.751,0.852,9,-4.904,1,0.0295,0.0365,0.0,0.11,0.939,116.542,205160,1982,45
