sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2,Playlists
7A4qkJulbEMvveTLvj7Tbo,0.416,0.723,7,-9.793,0,0.136,0.204,4.89e-06,0.116,0.7190000000000001,170.3,265147,1990,48,0.0,0.9982545375823976,0.0,[133]
2g3ek07VpeELwKquvg1GCz,0.429,0.958,2,-10.437,1,0.057,0.0494,0.00302,0.298,0.4370000000000001,161.004,178400,1970,31,0.7531890869140625,0.2464457005262375,0.0,[108]
6RNDeRnWsRMjPdNVgupZCs,0.748,0.551,1,-9.054,1,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,262240,1999,75,0.3047679662704468,0.6950222253799438,0.0,"[10, 21, 63, 96, 129, 132, 136, 164]"
6io0LJIP9ntX35hTfaxwQG,0.69,0.5,4,-16.145,0,0.0909,0.598,0.0288,0.11,0.586,191.539,236093,1977,61,0.6286161541938782,0.37116339802742,0.0,"[30, 47, 48, 68, 107, 108, 112, 118, 131]"
70aUjWZmd9F3bRSsR4DwAJ,0.804,0.233,2,-14.17,1,0.0312,0.64,0.106,0.0854,0.583,90.639,196800,1977,54,0.8092935681343079,0.1903003305196762,0.0,"[12, 68, 130]"
78G3uIAYlzHdGnRHoDEHau,0.484,0.295,6,-12.371,1,0.0323,0.818,3.19e-05,0.13,0.199,119.656,308400,1989,39,0.544588565826416,0.4551995694637298,0.0,[17]
0QuhwTewNXoOGWjzHzMr6s,0.344,0.983,7,-3.968,1,0.16699999999999998,0.000213,0.0,0.125,0.218,139.045,244867,2008,20,0.0,0.9984967708587646,0.0,[79]
2cpUudtTX7OU6DcoNTuxwB,0.65,0.665,9,-11.259,1,0.0372,0.0526,4.62e-06,0.13,0.593,115.51,254267,1988,50,0.2668982148170471,0.7329274415969849,0.0,"[113, 132]"
1AWXiUQjoQfcmqaBEtaOoL,0.364,0.45,7,-10.117,1,0.0234,0.0598,1.57e-06,0.282,0.139,94.188,270707,1994,70,0.23178960382938385,0.7679650783538818,0.0,"[132, 135]"
3wr4VlVaot0KEPL5W3XnEb,0.555,0.43,4,-6.582999999999998,1,0.0243,0.13699999999999998,0.0,0.384,0.223,78.006,236800,2000,51,0.2451855093240738,0.7546067833900452,0.0,[139]
3DzwsdqmeL60taVeshJ8WP,0.368,0.8909999999999999,1,-8.067,0,0.26,0.024,0.000611,0.194,0.527,142.216,178040,1993,44,0.9178854823112488,0.08191070705652237,0.0,"[61, 65, 118]"
5LXkyjFBTomtTVquFDsWbr,0.393,0.45,6,-10.626,0,0.131,0.0216,8.209999999999999e-05,0.443,0.389,149.67,217333,2002,29,0.7807621359825134,0.21903406083583832,0.0,[123]
21cuwyhb2IVO37F5jxq289,0.6709999999999999,0.635,6,-5.534,1,0.0682,0.234,0.0008550000000000001,0.0885,0.918,83.015,188160,2002,39,0.4682326912879944,0.5316392779350281,0.0,[138]
