sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2,lda_topic_3,lda_topic_4,lda_topic_5,lda_topic_6,lda_topic_7,lda_topic_8,lda_topic_9,lda_topic_10,lda_topic_11,lda_topic_12,lda_topic_13,lda_topic_14,lda_topic_15,lda_topic_16,lda_topic_17,lda_topic_18,lda_topic_19,Playlists
4iiLzvbh0bXMnomiB6DIuk,0.753,0.469,2,-11.64,1,0.0339,0.535,0.0,0.29,0.838,120.918,164440,1976,53,0.0,0.0,0.0,0.21418222784996035,0.0,0.0,0.0,0.0,0.0,0.11193035542964937,0.0,0.0,0.0,0.0,0.15289276838302612,0.0,0.0,0.07607313990592958,0.0621018223464489,0.36985325813293457,"[30, 68, 118]"
1vpwWCCXYYMAaRMTfsnDpk,0.487,0.449,5,-6.485,0,0.0645,0.7040000000000001,0.0,0.116,0.226,122.784,242720,1/1/2007,42,0.017027368769049644,0.0,0.0811193585395813,0.0,0.0,0.0,0.0,0.0,0.0,0.1502290815114975,0.0,0.0,0.0,0.0,0.0,0.0,0.06730901449918747,0.0,0.0,0.676247775554657,"[116, 163]"
6tunhVGD8C05MZNjSVIsjw,0.626,0.565,9,-10.027,1,0.0271,0.124,0.0,0.0811,0.924,116.61,233507,8/16/1972,64,0.08972981572151184,0.0,0.025733819231390957,0.5212556719779968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03362065181136131,0.0,0.15660066902637482,0.070038802921772,0.0,0.0,0.0,0.09545950591564177,"[30, 68, 118, 157]"
44zDLad2CZrhWg2lg9nfuy,0.645,0.649,10,-8.345,0,0.031,0.253,0.0,0.107,0.5670000000000001,133.65200000000002,132400,1965,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027865970507264137,0.0,0.21932803094387052,0.0,0.2713846564292908,0.13630180060863495,0.0,0.0,0.0,0.0,0.3362942039966583,"[65, 68, 118]"
3lAun9V0YdTlCSIEXPvfsY,0.371,0.278,7,-8.596,0,0.0303,0.981,0.0,0.272,0.338,82.331,187733,10/13/2008,63,0.0,0.0,0.0,0.0,0.0,0.9817296862602234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[128, 147]"
4SByRm49LWQlobusVS7dcZ,0.614,0.599,6,-12.27,0,0.0288,0.13,0.0,0.2,0.594,113.108,211333,11/1/1987,50,0.0,0.0,0.0,0.34208282828330994,0.0,0.0,0.0,0.0,0.0,0.09794630855321884,0.0,0.17714382708072662,0.0,0.0,0.0,0.24911296367645264,0.0,0.0,0.0,0.12488864362239838,[132]
6OtCIsQZ64Vs1EbzztvAv4,0.634,0.69,6,-7.8039999999999985,1,0.052000000000000005,0.0771,0.0,0.132,0.645,94.988,253307,1/1/2009,72,0.06628737598657608,0.0,0.038315657526254654,0.0,0.0,0.0,0.0,0.0107409218326211,0.0,0.2815456688404083,0.0,0.0,0.0,0.18044734001159668,0.0,0.2667705714702606,0.0,0.0,0.1505470722913742,0.0,"[4, 7, 24, 38, 154, 155, 158]"
2vLaES21zwbX1Rnmj56Bbb,0.593,0.7909999999999999,8,-8.698,0,0.068,0.175,0.0,0.0976,0.63,112.295,188800,1973,64,0.0,0.0,0.0,0.1751483678817749,0.0,0.0,0.13413590192794803,0.0,0.0,0.0517461970448494,0.0,0.0,0.0,0.0,0.0,0.23436880111694336,0.0,0.0,0.0,0.3940346837043762,"[35, 68, 117, 119, 121, 122, 123, 149]"
7icC0mHYpROmIRhpa2DaFC,0.8320000000000001,0.509,7,-8.918,1,0.0306,0.34,0.000793,0.15,0.8440000000000001,105.986,347333,10/29/1982,45,0.08524592965841292,0.0,0.037255845963954926,0.1530175507068634,0.0,0.0,0.0,0.0,0.0,0.08691589534282684,0.0,0.27669233083724976,0.010256232693791391,0.10928869992494583,0.09573080390691756,0.013622180558741093,0.022101284936070442,0.0,0.0,0.10497982800006866,"[42, 115, 121, 145]"
3OK8WgNRmp4F3ahXe6XX6l,0.537,0.462,6,-7.501,1,0.0289,0.574,9.75e-05,0.108,0.35600000000000004,136.634,307867,2/10/1998,69,0.0,0.0,0.0,0.0,0.9685562252998352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016926491633057594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[45, 97, 99, 100, 101, 137]"
